city,time,pm2_5,pm10,ozone
Delhi,2025-12-11T00:00:00,111.3,112.2,38
Delhi,2025-12-11T01:00:00,112.5,113.4,39
Delhi,2025-12-11T02:00:00,112.5,113.4,40
Delhi,2025-12-11T03:00:00,109.7,110.6,42
Delhi,2025-12-11T04:00:00,106.4,107.3,44
Delhi,2025-12-11T05:00:00,105.2,106.2,45
Delhi,2025-12-11T06:00:00,110.1,111.1,37
Delhi,2025-12-11T07:00:00,124.3,125.3,28
Delhi,2025-12-11T08:00:00,130.4,131.3,36
Delhi,2025-12-11T09:00:00,123.9,124.3,79
Delhi,2025-12-11T10:00:00,110.8,111.5,139
Delhi,2025-12-11T11:00:00,90.3,91.0,183
Delhi,2025-12-11T12:00:00,71.2,71.9,199
Delhi,2025-12-11T13:00:00,61.7,62.2,199
Delhi,2025-12-11T14:00:00,55.5,56.0,188
Delhi,2025-12-11T15:00:00,52.0,52.5,163
Delhi,2025-12-11T16:00:00,55.1,55.4,126
Delhi,2025-12-11T17:00:00,69.6,69.8,94
Delhi,2025-12-11T18:00:00,85.2,85.4,70
Delhi,2025-12-11T19:00:00,96.4,96.9,49
Delhi,2025-12-11T20:00:00,107.8,108.3,34
Delhi,2025-12-11T21:00:00,121.1,121.5,27
Delhi,2025-12-11T22:00:00,133.6,134.1,25
Delhi,2025-12-11T23:00:00,138.3,138.8,24
Delhi,2025-12-12T00:00:00,135.5,136.0,24
Delhi,2025-12-12T01:00:00,132.2,132.7,24
Delhi,2025-12-12T02:00:00,131.8,132.2,24
Delhi,2025-12-12T03:00:00,132.2,133.2,22
Delhi,2025-12-12T04:00:00,133.2,134.1,18
Delhi,2025-12-12T05:00:00,136.4,136.9,17
Delhi,2025-12-12T06:00:00,144.4,144.8,13
Delhi,2025-12-12T07:00:00,159.3,160.2,12
Delhi,2025-12-12T08:00:00,162.5,163.4,28
Delhi,2025-12-12T09:00:00,146.2,146.7,79
Delhi,2025-12-12T10:00:00,124.3,125.3,149
Delhi,2025-12-12T11:00:00,99.7,100.4,203
Delhi,2025-12-12T12:00:00,80.3,81.0,230
Delhi,2025-12-12T13:00:00,71.9,72.6,242
